Title
Software galaxies
"Conway's Game of Life, in checkboxes for some reason"
"A modern 8 bit design, built using 1950s thermionic valves"
Orbital Mechanics and Astrodynamics
"Parkinson's Link to Gut Bacteria Suggests Unexpected, Simple Treatment"
"Frame.work laptop now available in Denmark, Finland, and Sweden"
Investigating SSMEC's (State Micro) 486s with the UCA
"Launch HN: Hatchet (YC W24) – Open-source task queue, now with a cloud version"
Aeon: OpenSUSE for Lazy Developers
Infrastructure set-up & open-source scripts to train a 70B model from bare metal
Navigating Starlink's FCC Paper Trail
Moving objects precisely with sound
Git-cliff – Generate changelog from the Git history
"WA man set up fake free WiFi at Australian airports and on flights,police allege"
Spudguns: Potato Cannon Guide
"Remembering Larry Finger, who made Linux wireless work"
Hardware FPGA DPS-8M Mainframe and FNP Project
Flame Graphs: Making the opaque obvious (2017)
"Moaan InkPalm Plus is weird, cheap, small, and my kind of e-reader"
"ID verification service for TikTok, Uber, X exposed driver licenses"
Gemma 2: Improving Open Language Models at a Practical Size [pdf]
The Life Of Lithium
Show HN: Dorkly – Open source feature flags
Open Sourcing Kinopio
The Death of NYC Congestion Pricing
My First Kubernetes: k3s 'cluster' on 3 Orange Pi Zero 3's
Ask HN: What is the best code base you ever worked on?
Tesorio (YC S15) Is Hiring a Senior GenAI/LLM Engineer (100% Remote)
200 people charged in $2.7B health care fraud crackdown
Maker of RStudio launches new R and Python IDE
More
